Johnson & Johnson Medical GmbH	Robert Koch Strasse 1, D 22851 Norderstedt, Germany	QSD5057		DE	英商壯生和壯生(香港)股份有限公司台灣分公司	Y	2015-12-03	
Research Instruments Ltd.	Bickland Industrial Park, Falmouth. Cornwall, TR11 4TA, United Kindom	QSD5861	Assisted reproduction accessories	GB	弘優科技有限公司	Y	2017-03-02	
Philips Medical Systems (Cleveland), Inc.	5520 Nobel Drive, Suite 125, Fitchburg, WI 53711, U.S.A.	QSD5866	Radiation Therapy Planning System 等乙項。	US	台灣飛利浦股份有限公司	Y	2017-03-02	
Terumo BCT, Ltd.	Old Belfast Road Millbrook Larne Co. Antrim BT40 2SH, Unitetd Kingdom	QSD5869	Empty container for the collection and processing of blood and blood components	GB	日商泰爾茂股份有限公司台北分公司	Y	2017-02-25	
Terumo BCT, Ltd.	Old Belfast Road Millbrook Larne Co. Antrim BT40 2SH, Unitetd Kingdom	QSD5869	Automated blood cell separator等2項。	GB	日商泰爾茂股份有限公司台北分公司	Y	2017-02-25	
Gambro Dialysatoren GmbH	Holger-Crafoord-Strasse 26, 72379 Hechingen, Germany	QSD5874	Hemodialysis system and accessories	DE	衛寶股份有限公司	Y	2017-02-25	
Bard Electrophysiology, A Division of C.R. Bard, Inc.	55 Technology Drive, Lowell, MA 01851, USA.	QSD5847	Hemodialysis system and accessories	US	荷商波士頓科技有限公司台灣分公司	Y	2017-02-14	
Gambro Dialysatoren GmbH	Holger-Crafoord-Strasse 26, 72379 Hechingen, Germany	QSD5874	Water purification system for hemodialysis and accessories	DE	衛寶股份有限公司	Y	2017-02-25	
Bard Electrophysiology, A Division of C.R. Bard, Inc.	55 Technology Drive, Lowell, MA 01851, USA.	QSD5847	Water purification system for hemodialysis and accessories	US	荷商波士頓科技有限公司台灣分公司	Y	2017-02-14	
Gambro Dialysatoren GmbH	Holger-Crafoord-Strasse 26, 72379 Hechingen, Germany	QSD5874	Sorbent hemoperfusion system and accessories	DE	衛寶股份有限公司	Y	2017-02-25	
Bard Electrophysiology, A Division of C.R. Bard, Inc.	55 Technology Drive, Lowell, MA 01851, USA.	QSD5847	Sorbent hemoperfusion system and accessories	US	荷商波士頓科技有限公司台灣分公司	Y	2017-02-14	
Gambro Dialysatoren GmbH	Holger-Crafoord-Strasse 26, 72379 Hechingen, Germany	QSD5874	High permeability hemodialysis system and accessories等4項。	DE	衛寶股份有限公司	Y	2017-02-25	
Bard Electrophysiology, A Division of C.R. Bard, Inc.	55 Technology Drive, Lowell, MA 01851, USA.	QSD5847	High permeability hemodialysis system and accessories等4項。	US	荷商波士頓科技有限公司台灣分公司	Y	2017-02-14	
Boston Scientific Ireland Ltd.	Ballybrit Business Park, Galway, Ireland	QSD5875	Ureteral Dilator	IE	荷商波士頓科技有限公司台灣分公司	Y	2017-02-24	
Boston Scientific Ireland Ltd.	Ballybrit Business Park, Galway, Ireland	QSD5875	Nephrostomy Catheter等2項。	IE	荷商波士頓科技有限公司台灣分公司	Y	2017-02-24	
Children’s Medical Ventures	191 Wyngate Drive Monroeville, PA 15146, U.S.A.	QSD5877	Breathing frequency monitor	US	台灣飛利浦股份有限公司	Y	2017-03-02	
Children’s Medical Ventures	191 Wyngate Drive Monroeville, PA 15146, U.S.A.	QSD5877	Apnea monitor	US	台灣飛利浦股份有限公司	Y	2017-03-02	
Children’s Medical Ventures	191 Wyngate Drive Monroeville, PA 15146, U.S.A.	QSD5877	Noncontinuous ventilator (IPPB)	US	台灣飛利浦股份有限公司	Y	2017-03-02	
Children’s Medical Ventures	191 Wyngate Drive Monroeville, PA 15146, U.S.A.	QSD5877	Oximeter	US	台灣飛利浦股份有限公司	Y	2017-03-02	
Children’s Medical Ventures	191 Wyngate Drive Monroeville, PA 15146, U.S.A.	QSD5877	Neonatal phototherapy unit等5項。	US	台灣飛利浦股份有限公司	Y	2017-03-02	
Müller-Omicron GmbH & Co. KG	Im Faulchen 3, D-35685 Dillenburg, Germany	QSD5878	Impression Material等乙項。	DE	康盛國際貿易有限公司	Y	2017-03-01	
Ortho-Clinical Diagnostics	Felindre Meadows, Pencoed, Bridgend, CF35 5PZ, United  Kingdom	QSD5880	Hepatitis Reagents	GB	英商壯生和壯生香港股份有限公司台灣分公司	Y	2016-09-16	
Ortho-Clinical Diagnostics	Felindre Meadows, Pencoed, Bridgend, CF35 5PZ, United  Kingdom	QSD5880	Hepatitis Reagents	GB	台灣大昌華嘉股份有限公司	Y	2016-09-16	
Ortho-Clinical Diagnostics	Felindre Meadows, Pencoed, Bridgend, CF35 5PZ, United  Kingdom	QSD5880	Hepatitis Reagents	GB	台灣大昌華嘉股份有限公司	Y	2016-09-16	
Ortho-Clinical Diagnostics	Felindre Meadows, Pencoed, Bridgend, CF35 5PZ, United  Kingdom	QSD5880	Calibrator	GB	英商壯生和壯生香港股份有限公司台灣分公司	Y	2016-09-16	
Ortho-Clinical Diagnostics	Felindre Meadows, Pencoed, Bridgend, CF35 5PZ, United  Kingdom	QSD5880	Calibrator	GB	台灣大昌華嘉股份有限公司	Y	2016-09-16	
Ortho-Clinical Diagnostics	Felindre Meadows, Pencoed, Bridgend, CF35 5PZ, United  Kingdom	QSD5880	Calibrator	GB	台灣大昌華嘉股份有限公司	Y	2016-09-16	
Ortho-Clinical Diagnostics	Felindre Meadows, Pencoed, Bridgend, CF35 5PZ, United  Kingdom	QSD5880	Quality Control Material (Assayed and Unassayed)	GB	英商壯生和壯生香港股份有限公司台灣分公司	Y	2016-09-16	
Ortho-Clinical Diagnostics	Felindre Meadows, Pencoed, Bridgend, CF35 5PZ, United  Kingdom	QSD5880	Quality Control Material (Assayed and Unassayed)	GB	台灣大昌華嘉股份有限公司	Y	2016-09-16	
Ortho-Clinical Diagnostics	Felindre Meadows, Pencoed, Bridgend, CF35 5PZ, United  Kingdom	QSD5880	Quality Control Material (Assayed and Unassayed)	GB	台灣大昌華嘉股份有限公司	Y	2016-09-16	
Ortho-Clinical Diagnostics	Felindre Meadows, Pencoed, Bridgend, CF35 5PZ, United  Kingdom	QSD5880	Tumor-Associated Antigen Immunological Test System	GB	英商壯生和壯生香港股份有限公司台灣分公司	Y	2016-09-16	
Ortho-Clinical Diagnostics	Felindre Meadows, Pencoed, Bridgend, CF35 5PZ, United  Kingdom	QSD5880	Tumor-Associated Antigen Immunological Test System	GB	台灣大昌華嘉股份有限公司	Y	2016-09-16	
Ortho-Clinical Diagnostics	Felindre Meadows, Pencoed, Bridgend, CF35 5PZ, United  Kingdom	QSD5880	Tumor-Associated Antigen Immunological Test System	GB	台灣大昌華嘉股份有限公司	Y	2016-09-16	
Ortho-Clinical Diagnostics	Felindre Meadows, Pencoed, Bridgend, CF35 5PZ, United  Kingdom	QSD5880	Estradiol Test System	GB	英商壯生和壯生香港股份有限公司台灣分公司	Y	2016-09-16	
Ortho-Clinical Diagnostics	Felindre Meadows, Pencoed, Bridgend, CF35 5PZ, United  Kingdom	QSD5880	Estradiol Test System	GB	台灣大昌華嘉股份有限公司	Y	2016-09-16	
Ortho-Clinical Diagnostics	Felindre Meadows, Pencoed, Bridgend, CF35 5PZ, United  Kingdom	QSD5880	Estradiol Test System	GB	台灣大昌華嘉股份有限公司	Y	2016-09-16	
Ortho-Clinical Diagnostics	Felindre Meadows, Pencoed, Bridgend, CF35 5PZ, United  Kingdom	QSD5880	Free Thyroxine Test System	GB	英商壯生和壯生香港股份有限公司台灣分公司	Y	2016-09-16	
Ortho-Clinical Diagnostics	Felindre Meadows, Pencoed, Bridgend, CF35 5PZ, United  Kingdom	QSD5880	Free Thyroxine Test System	GB	台灣大昌華嘉股份有限公司	Y	2016-09-16	
Ortho-Clinical Diagnostics	Felindre Meadows, Pencoed, Bridgend, CF35 5PZ, United  Kingdom	QSD5880	Free Thyroxine Test System	GB	台灣大昌華嘉股份有限公司	Y	2016-09-16	
Ortho-Clinical Diagnostics	Felindre Meadows, Pencoed, Bridgend, CF35 5PZ, United  Kingdom	QSD5880	Follicle-Stimulating Hormone Test System	GB	英商壯生和壯生香港股份有限公司台灣分公司	Y	2016-09-16	
Ortho-Clinical Diagnostics	Felindre Meadows, Pencoed, Bridgend, CF35 5PZ, United  Kingdom	QSD5880	Follicle-Stimulating Hormone Test System	GB	台灣大昌華嘉股份有限公司	Y	2016-09-16	
Ortho-Clinical Diagnostics	Felindre Meadows, Pencoed, Bridgend, CF35 5PZ, United  Kingdom	QSD5880	Follicle-Stimulating Hormone Test System	GB	台灣大昌華嘉股份有限公司	Y	2016-09-16	
Ortho-Clinical Diagnostics	Felindre Meadows, Pencoed, Bridgend, CF35 5PZ, United  Kingdom	QSD5880	Luteinizing Hormone Test System	GB	英商壯生和壯生香港股份有限公司台灣分公司	Y	2016-09-16	
Ortho-Clinical Diagnostics	Felindre Meadows, Pencoed, Bridgend, CF35 5PZ, United  Kingdom	QSD5880	Luteinizing Hormone Test System	GB	台灣大昌華嘉股份有限公司	Y	2016-09-16	
Ortho-Clinical Diagnostics	Felindre Meadows, Pencoed, Bridgend, CF35 5PZ, United  Kingdom	QSD5880	Luteinizing Hormone Test System	GB	台灣大昌華嘉股份有限公司	Y	2016-09-16	
Ortho-Clinical Diagnostics	Felindre Meadows, Pencoed, Bridgend, CF35 5PZ, United  Kingdom	QSD5880	Progesterone Test System	GB	英商壯生和壯生香港股份有限公司台灣分公司	Y	2016-09-16	
Ortho-Clinical Diagnostics	Felindre Meadows, Pencoed, Bridgend, CF35 5PZ, United  Kingdom	QSD5880	Progesterone Test System	GB	台灣大昌華嘉股份有限公司	Y	2016-09-16	
Ortho-Clinical Diagnostics	Felindre Meadows, Pencoed, Bridgend, CF35 5PZ, United  Kingdom	QSD5880	Progesterone Test System	GB	台灣大昌華嘉股份有限公司	Y	2016-09-16	
Ortho-Clinical Diagnostics	Felindre Meadows, Pencoed, Bridgend, CF35 5PZ, United  Kingdom	QSD5880	Prolactin (Lactogen) Test System	GB	英商壯生和壯生香港股份有限公司台灣分公司	Y	2016-09-16	
Ortho-Clinical Diagnostics	Felindre Meadows, Pencoed, Bridgend, CF35 5PZ, United  Kingdom	QSD5880	Prolactin (Lactogen) Test System	GB	台灣大昌華嘉股份有限公司	Y	2016-09-16	
Ortho-Clinical Diagnostics	Felindre Meadows, Pencoed, Bridgend, CF35 5PZ, United  Kingdom	QSD5880	Prolactin (Lactogen) Test System	GB	台灣大昌華嘉股份有限公司	Y	2016-09-16	
Ortho-Clinical Diagnostics	Felindre Meadows, Pencoed, Bridgend, CF35 5PZ, United  Kingdom	QSD5880	Triiodothyronine Uptake Test System	GB	英商壯生和壯生香港股份有限公司台灣分公司	Y	2016-09-16	
Ortho-Clinical Diagnostics	Felindre Meadows, Pencoed, Bridgend, CF35 5PZ, United  Kingdom	QSD5880	Triiodothyronine Uptake Test System	GB	台灣大昌華嘉股份有限公司	Y	2016-09-16	
Ortho-Clinical Diagnostics	Felindre Meadows, Pencoed, Bridgend, CF35 5PZ, United  Kingdom	QSD5880	Triiodothyronine Uptake Test System	GB	台灣大昌華嘉股份有限公司	Y	2016-09-16	
Ortho-Clinical Diagnostics	Felindre Meadows, Pencoed, Bridgend, CF35 5PZ, United  Kingdom	QSD5880	Total Triiodothyronine Test System	GB	英商壯生和壯生香港股份有限公司台灣分公司	Y	2016-09-16	
Ortho-Clinical Diagnostics	Felindre Meadows, Pencoed, Bridgend, CF35 5PZ, United  Kingdom	QSD5880	Total Triiodothyronine Test System	GB	台灣大昌華嘉股份有限公司	Y	2016-09-16	
Ortho-Clinical Diagnostics	Felindre Meadows, Pencoed, Bridgend, CF35 5PZ, United  Kingdom	QSD5880	Total Triiodothyronine Test System	GB	台灣大昌華嘉股份有限公司	Y	2016-09-16	
Ortho-Clinical Diagnostics	Felindre Meadows, Pencoed, Bridgend, CF35 5PZ, United  Kingdom	QSD5880	Total Thyroxine Test System	GB	英商壯生和壯生香港股份有限公司台灣分公司	Y	2016-09-16	
Ortho-Clinical Diagnostics	Felindre Meadows, Pencoed, Bridgend, CF35 5PZ, United  Kingdom	QSD5880	Total Thyroxine Test System	GB	台灣大昌華嘉股份有限公司	Y	2016-09-16	
Ortho-Clinical Diagnostics	Felindre Meadows, Pencoed, Bridgend, CF35 5PZ, United  Kingdom	QSD5880	Total Thyroxine Test System	GB	台灣大昌華嘉股份有限公司	Y	2016-09-16	
Ortho-Clinical Diagnostics	Felindre Meadows, Pencoed, Bridgend, CF35 5PZ, United  Kingdom	QSD5880	Thyroid Stimulating Hormone Test System	GB	英商壯生和壯生香港股份有限公司台灣分公司	Y	2016-09-16	
Ortho-Clinical Diagnostics	Felindre Meadows, Pencoed, Bridgend, CF35 5PZ, United  Kingdom	QSD5880	Thyroid Stimulating Hormone Test System	GB	台灣大昌華嘉股份有限公司	Y	2016-09-16	
Ortho-Clinical Diagnostics	Felindre Meadows, Pencoed, Bridgend, CF35 5PZ, United  Kingdom	QSD5880	Thyroid Stimulating Hormone Test System	GB	台灣大昌華嘉股份有限公司	Y	2016-09-16	
Ortho-Clinical Diagnostics	Felindre Meadows, Pencoed, Bridgend, CF35 5PZ, United  Kingdom	QSD5880	Ferritin Immunological Test System	GB	英商壯生和壯生香港股份有限公司台灣分公司	Y	2016-09-16	
Ortho-Clinical Diagnostics	Felindre Meadows, Pencoed, Bridgend, CF35 5PZ, United  Kingdom	QSD5880	Ferritin Immunological Test System	GB	台灣大昌華嘉股份有限公司	Y	2016-09-16	
Ortho-Clinical Diagnostics	Felindre Meadows, Pencoed, Bridgend, CF35 5PZ, United  Kingdom	QSD5880	Ferritin Immunological Test System	GB	台灣大昌華嘉股份有限公司	Y	2016-09-16	
Ortho-Clinical Diagnostics	Felindre Meadows, Pencoed, Bridgend, CF35 5PZ, United  Kingdom	QSD5880	Creatine Phosphokinase/Creatine Kinase or Isoenzymes Test System	GB	英商壯生和壯生香港股份有限公司台灣分公司	Y	2016-09-16	
Ortho-Clinical Diagnostics	Felindre Meadows, Pencoed, Bridgend, CF35 5PZ, United  Kingdom	QSD5880	Creatine Phosphokinase/Creatine Kinase or Isoenzymes Test System	GB	台灣大昌華嘉股份有限公司	Y	2016-09-16	
Ortho-Clinical Diagnostics	Felindre Meadows, Pencoed, Bridgend, CF35 5PZ, United  Kingdom	QSD5880	Creatine Phosphokinase/Creatine Kinase or Isoenzymes Test System	GB	台灣大昌華嘉股份有限公司	Y	2016-09-16	
Ortho-Clinical Diagnostics	Felindre Meadows, Pencoed, Bridgend, CF35 5PZ, United  Kingdom	QSD5880	Human Chorionic Gonadotropin (HCG) Test System	GB	英商壯生和壯生香港股份有限公司台灣分公司	Y	2016-09-16	
Ortho-Clinical Diagnostics	Felindre Meadows, Pencoed, Bridgend, CF35 5PZ, United  Kingdom	QSD5880	Human Chorionic Gonadotropin (HCG) Test System	GB	台灣大昌華嘉股份有限公司	Y	2016-09-16	
Ortho-Clinical Diagnostics	Felindre Meadows, Pencoed, Bridgend, CF35 5PZ, United  Kingdom	QSD5880	Human Chorionic Gonadotropin (HCG) Test System	GB	台灣大昌華嘉股份有限公司	Y	2016-09-16	
Ortho-Clinical Diagnostics	Felindre Meadows, Pencoed, Bridgend, CF35 5PZ, United  Kingdom	QSD5880	Testosterone Test System	GB	英商壯生和壯生香港股份有限公司台灣分公司	Y	2016-09-16	
Ortho-Clinical Diagnostics	Felindre Meadows, Pencoed, Bridgend, CF35 5PZ, United  Kingdom	QSD5880	Testosterone Test System	GB	台灣大昌華嘉股份有限公司	Y	2016-09-16	
Ortho-Clinical Diagnostics	Felindre Meadows, Pencoed, Bridgend, CF35 5PZ, United  Kingdom	QSD5880	Testosterone Test System	GB	台灣大昌華嘉股份有限公司	Y	2016-09-16	
Ortho-Clinical Diagnostics	Felindre Meadows, Pencoed, Bridgend, CF35 5PZ, United  Kingdom	QSD5880	Cortisol (Hydrocortisone and Hydroxycorticosterone) Test System	GB	英商壯生和壯生香港股份有限公司台灣分公司	Y	2016-09-16	
Ortho-Clinical Diagnostics	Felindre Meadows, Pencoed, Bridgend, CF35 5PZ, United  Kingdom	QSD5880	Cortisol (Hydrocortisone and Hydroxycorticosterone) Test System	GB	台灣大昌華嘉股份有限公司	Y	2016-09-16	
Ortho-Clinical Diagnostics	Felindre Meadows, Pencoed, Bridgend, CF35 5PZ, United  Kingdom	QSD5880	Cortisol (Hydrocortisone and Hydroxycorticosterone) Test System	GB	台灣大昌華嘉股份有限公司	Y	2016-09-16	
Ortho-Clinical Diagnostics	Felindre Meadows, Pencoed, Bridgend, CF35 5PZ, United  Kingdom	QSD5880	Hydroxyproline Test System	GB	英商壯生和壯生香港股份有限公司台灣分公司	Y	2016-09-16	
Ortho-Clinical Diagnostics	Felindre Meadows, Pencoed, Bridgend, CF35 5PZ, United  Kingdom	QSD5880	Hydroxyproline Test System	GB	台灣大昌華嘉股份有限公司	Y	2016-09-16	
Ortho-Clinical Diagnostics	Felindre Meadows, Pencoed, Bridgend, CF35 5PZ, United  Kingdom	QSD5880	Hydroxyproline Test System	GB	台灣大昌華嘉股份有限公司	Y	2016-09-16	
Ortho-Clinical Diagnostics	Felindre Meadows, Pencoed, Bridgend, CF35 5PZ, United  Kingdom	QSD5880	Vitamin B12 Test System	GB	英商壯生和壯生香港股份有限公司台灣分公司	Y	2016-09-16	
Ortho-Clinical Diagnostics	Felindre Meadows, Pencoed, Bridgend, CF35 5PZ, United  Kingdom	QSD5880	Vitamin B12 Test System	GB	台灣大昌華嘉股份有限公司	Y	2016-09-16	
Ortho-Clinical Diagnostics	Felindre Meadows, Pencoed, Bridgend, CF35 5PZ, United  Kingdom	QSD5880	Vitamin B12 Test System	GB	台灣大昌華嘉股份有限公司	Y	2016-09-16	
Ortho-Clinical Diagnostics	Felindre Meadows, Pencoed, Bridgend, CF35 5PZ, United  Kingdom	QSD5880	Folic Acid Test System	GB	英商壯生和壯生香港股份有限公司台灣分公司	Y	2016-09-16	
Ortho-Clinical Diagnostics	Felindre Meadows, Pencoed, Bridgend, CF35 5PZ, United  Kingdom	QSD5880	Folic Acid Test System	GB	台灣大昌華嘉股份有限公司	Y	2016-09-16	
Ortho-Clinical Diagnostics	Felindre Meadows, Pencoed, Bridgend, CF35 5PZ, United  Kingdom	QSD5880	Folic Acid Test System	GB	台灣大昌華嘉股份有限公司	Y	2016-09-16	
Ortho-Clinical Diagnostics	Felindre Meadows, Pencoed, Bridgend, CF35 5PZ, United  Kingdom	QSD5880	Myoglobin Immunological Test System	GB	英商壯生和壯生香港股份有限公司台灣分公司	Y	2016-09-16	
Ortho-Clinical Diagnostics	Felindre Meadows, Pencoed, Bridgend, CF35 5PZ, United  Kingdom	QSD5880	Myoglobin Immunological Test System	GB	台灣大昌華嘉股份有限公司	Y	2016-09-16	
Ortho-Clinical Diagnostics	Felindre Meadows, Pencoed, Bridgend, CF35 5PZ, United  Kingdom	QSD5880	Myoglobin Immunological Test System	GB	台灣大昌華嘉股份有限公司	Y	2016-09-16	
Ortho-Clinical Diagnostics	Felindre Meadows, Pencoed, Bridgend, CF35 5PZ, United  Kingdom	QSD5880	Rubella Virus Serological Reagents	GB	英商壯生和壯生香港股份有限公司台灣分公司	Y	2016-09-16	
Ortho-Clinical Diagnostics	Felindre Meadows, Pencoed, Bridgend, CF35 5PZ, United  Kingdom	QSD5880	Rubella Virus Serological Reagents	GB	台灣大昌華嘉股份有限公司	Y	2016-09-16	
Ortho-Clinical Diagnostics	Felindre Meadows, Pencoed, Bridgend, CF35 5PZ, United  Kingdom	QSD5880	Rubella Virus Serological Reagents	GB	台灣大昌華嘉股份有限公司	Y	2016-09-16	
Ortho-Clinical Diagnostics	Felindre Meadows, Pencoed, Bridgend, CF35 5PZ, United  Kingdom	QSD5880	Toxoplasma Gondii Serological Reagents	GB	英商壯生和壯生香港股份有限公司台灣分公司	Y	2016-09-16	
Ortho-Clinical Diagnostics	Felindre Meadows, Pencoed, Bridgend, CF35 5PZ, United  Kingdom	QSD5880	Toxoplasma Gondii Serological Reagents	GB	台灣大昌華嘉股份有限公司	Y	2016-09-16	
Ortho-Clinical Diagnostics	Felindre Meadows, Pencoed, Bridgend, CF35 5PZ, United  Kingdom	QSD5880	Toxoplasma Gondii Serological Reagents	GB	台灣大昌華嘉股份有限公司	Y	2016-09-16	
Ortho-Clinical Diagnostics	Felindre Meadows, Pencoed, Bridgend, CF35 5PZ, United  Kingdom	QSD5880	B-Type Natriuretic Peptide Test System	GB	英商壯生和壯生香港股份有限公司台灣分公司	Y	2016-09-16	
Ortho-Clinical Diagnostics	Felindre Meadows, Pencoed, Bridgend, CF35 5PZ, United  Kingdom	QSD5880	B-Type Natriuretic Peptide Test System	GB	台灣大昌華嘉股份有限公司	Y	2016-09-16	
Ortho-Clinical Diagnostics	Felindre Meadows, Pencoed, Bridgend, CF35 5PZ, United  Kingdom	QSD5880	B-Type Natriuretic Peptide Test System	GB	台灣大昌華嘉股份有限公司	Y	2016-09-16	
Ortho-Clinical Diagnostics	Felindre Meadows, Pencoed, Bridgend, CF35 5PZ, United  Kingdom	QSD5880	Cytomegalovirus Serological Reagents	GB	英商壯生和壯生香港股份有限公司台灣分公司	Y	2016-09-16	
Ortho-Clinical Diagnostics	Felindre Meadows, Pencoed, Bridgend, CF35 5PZ, United  Kingdom	QSD5880	Cytomegalovirus Serological Reagents	GB	台灣大昌華嘉股份有限公司	Y	2016-09-16	
Ortho-Clinical Diagnostics	Felindre Meadows, Pencoed, Bridgend, CF35 5PZ, United  Kingdom	QSD5880	Cytomegalovirus Serological Reagents	GB	台灣大昌華嘉股份有限公司	Y	2016-09-16	
Ortho-Clinical Diagnostics	Felindre Meadows, Pencoed, Bridgend, CF35 5PZ, United  Kingdom	QSD5880	HIV Reagents	GB	英商壯生和壯生香港股份有限公司台灣分公司	Y	2016-09-16	
Ortho-Clinical Diagnostics	Felindre Meadows, Pencoed, Bridgend, CF35 5PZ, United  Kingdom	QSD5880	HIV Reagents	GB	台灣大昌華嘉股份有限公司	Y	2016-09-16	
Ortho-Clinical Diagnostics	Felindre Meadows, Pencoed, Bridgend, CF35 5PZ, United  Kingdom	QSD5880	HIV Reagents	GB	台灣大昌華嘉股份有限公司	Y	2016-09-16	
Ortho-Clinical Diagnostics	Felindre Meadows, Pencoed, Bridgend, CF35 5PZ, United  Kingdom	QSD5880	Parathyroid Hormone Test System	GB	英商壯生和壯生香港股份有限公司台灣分公司	Y	2016-09-16	
Ortho-Clinical Diagnostics	Felindre Meadows, Pencoed, Bridgend, CF35 5PZ, United  Kingdom	QSD5880	Parathyroid Hormone Test System	GB	台灣大昌華嘉股份有限公司	Y	2016-09-16	
Ortho-Clinical Diagnostics	Felindre Meadows, Pencoed, Bridgend, CF35 5PZ, United  Kingdom	QSD5880	Parathyroid Hormone Test System	GB	台灣大昌華嘉股份有限公司	Y	2016-09-16	
Ortho-Clinical Diagnostics	Felindre Meadows, Pencoed, Bridgend, CF35 5PZ, United  Kingdom	QSD5880	Syphilis reagents	GB	英商壯生和壯生香港股份有限公司台灣分公司	Y	2016-09-16	
Ortho-Clinical Diagnostics	Felindre Meadows, Pencoed, Bridgend, CF35 5PZ, United  Kingdom	QSD5880	Syphilis reagents	GB	台灣大昌華嘉股份有限公司	Y	2016-09-16	
Ortho-Clinical Diagnostics	Felindre Meadows, Pencoed, Bridgend, CF35 5PZ, United  Kingdom	QSD5880	Syphilis reagents	GB	台灣大昌華嘉股份有限公司	Y	2016-09-16	
Ortho-Clinical Diagnostics	Felindre Meadows, Pencoed, Bridgend, CF35 5PZ, United  Kingdom	QSD5880	Vitamin D test system等31項。	GB	英商壯生和壯生香港股份有限公司台灣分公司	Y	2016-09-16	
Ortho-Clinical Diagnostics	Felindre Meadows, Pencoed, Bridgend, CF35 5PZ, United  Kingdom	QSD5880	Vitamin D test system等31項。	GB	台灣大昌華嘉股份有限公司	Y	2016-09-16	
Ortho-Clinical Diagnostics	Felindre Meadows, Pencoed, Bridgend, CF35 5PZ, United  Kingdom	QSD5880	Vitamin D test system等31項。	GB	台灣大昌華嘉股份有限公司	Y	2016-09-16	
Biosense Webster, Inc.	15715 Arrow Highway Irwindale, CA. 91706, U.S.A.	QSD5882	Electrophysiology(EP) Mapping Systems	US	英商壯生和壯生(香港)股份有限公司台灣分公司	Y	2017-03-02	
Biosense Webster, Inc.	15715 Arrow Highway Irwindale, CA. 91706, U.S.A.	QSD5882	Electrophysiology(EP) Mapping Systems	US	壯生醫療器材股份有限公司	Y	2017-03-02	
Biosense Webster, Inc.	15715 Arrow Highway Irwindale, CA. 91706, U.S.A.	QSD5882	Diagonstic(EP) Catheters	US	英商壯生和壯生(香港)股份有限公司台灣分公司	Y	2017-03-02	
Biosense Webster, Inc.	15715 Arrow Highway Irwindale, CA. 91706, U.S.A.	QSD5882	Diagonstic(EP) Catheters	US	壯生醫療器材股份有限公司	Y	2017-03-02	
Biosense Webster, Inc.	15715 Arrow Highway Irwindale, CA. 91706, U.S.A.	QSD5882	(EP) Ablation Catheters	US	英商壯生和壯生(香港)股份有限公司台灣分公司	Y	2017-03-02	
Biosense Webster, Inc.	15715 Arrow Highway Irwindale, CA. 91706, U.S.A.	QSD5882	(EP) Ablation Catheters	US	壯生醫療器材股份有限公司	Y	2017-03-02	
Biosense Webster, Inc.	15715 Arrow Highway Irwindale, CA. 91706, U.S.A.	QSD5882	Baloon Catheters	US	英商壯生和壯生(香港)股份有限公司台灣分公司	Y	2017-03-02	
Biosense Webster, Inc.	15715 Arrow Highway Irwindale, CA. 91706, U.S.A.	QSD5882	Baloon Catheters	US	壯生醫療器材股份有限公司	Y	2017-03-02	
Biosense Webster, Inc.	15715 Arrow Highway Irwindale, CA. 91706, U.S.A.	QSD5882	Injection Catheters	US	英商壯生和壯生(香港)股份有限公司台灣分公司	Y	2017-03-02	
Biosense Webster, Inc.	15715 Arrow Highway Irwindale, CA. 91706, U.S.A.	QSD5882	Injection Catheters	US	壯生醫療器材股份有限公司	Y	2017-03-02	
Biosense Webster, Inc.	15715 Arrow Highway Irwindale, CA. 91706, U.S.A.	QSD5882	Guiding Sheath	US	英商壯生和壯生(香港)股份有限公司台灣分公司	Y	2017-03-02	
Biosense Webster, Inc.	15715 Arrow Highway Irwindale, CA. 91706, U.S.A.	QSD5882	Guiding Sheath	US	壯生醫療器材股份有限公司	Y	2017-03-02	
Biosense Webster, Inc.	15715 Arrow Highway Irwindale, CA. 91706, U.S.A.	QSD5882	Radio Frequency(RF) Generator	US	英商壯生和壯生(香港)股份有限公司台灣分公司	Y	2017-03-02	
Biosense Webster, Inc.	15715 Arrow Highway Irwindale, CA. 91706, U.S.A.	QSD5882	Radio Frequency(RF) Generator	US	壯生醫療器材股份有限公司	Y	2017-03-02	
Biosense Webster, Inc.	15715 Arrow Highway Irwindale, CA. 91706, U.S.A.	QSD5882	Irrigation Pumps	US	英商壯生和壯生(香港)股份有限公司台灣分公司	Y	2017-03-02	
Biosense Webster, Inc.	15715 Arrow Highway Irwindale, CA. 91706, U.S.A.	QSD5882	Irrigation Pumps	US	壯生醫療器材股份有限公司	Y	2017-03-02	
Biosense Webster, Inc.	15715 Arrow Highway Irwindale, CA. 91706, U.S.A.	QSD5882	ECG Leads	US	英商壯生和壯生(香港)股份有限公司台灣分公司	Y	2017-03-02	
Biosense Webster, Inc.	15715 Arrow Highway Irwindale, CA. 91706, U.S.A.	QSD5882	ECG Leads	US	壯生醫療器材股份有限公司	Y	2017-03-02	
Biosense Webster, Inc.	15715 Arrow Highway Irwindale, CA. 91706, U.S.A.	QSD5882	Interconnect Cables and Related Accessories等10項。	US	英商壯生和壯生(香港)股份有限公司台灣分公司	Y	2017-03-02	
